state,RMSE,MAE
AM,289.9547986394031,185.8357025461737
BA,11661.806635164668,4988.587376913289
GO,2640.5657149202107,1964.4439906883053
RS,2454.7505809112704,1487.5898139073106
SP,15360.098505970205,11989.5686600182
