state,RMSE,MAE
AM,315.7468775312992,225.94084492628463
BA,13702.664122924989,6148.425567748413
GO,3049.0194387873325,2293.444499113442
RS,2490.387465761296,1395.4158563270757
SP,19602.629954844524,15301.963500992793
