state,RMSE,MAE
AM,226.66288262757777,153.22212124429643
BA,8121.777146146615,3777.0909582092427
GO,3634.1524440872267,2483.718803803902
RS,1632.4830557955179,934.1827783483604
SP,30598.30087087859,21994.719610576594
